row col alpha observed common alphas.se$se
172 M.minima P.lessonni 0.0145082456117847 FALSE TRUE 0.00448017127484157
173 P.airoides P.lessonni -0.81246955793599 FALSE TRUE 0.0682316798989058
174 P.canescens P.lessonni -5.20671310953097 FALSE TRUE 0.388686474158179
175 T.cyanopetala P.lessonni -1.23313628119187 TRUE TRUE 0.0731264104459796
176 V.rosea P.lessonni 0.0645347530102812 FALSE TRUE 0.013067591812866
177 A.calendula P.muelleriana 0.00596979537948907 TRUE TRUE 0.000496223074303583
178 H.glabra P.muelleriana 0.0234794055026797 FALSE TRUE 0.00505847245788251
179 H.glutinosum P.muelleriana 0.160243310723464 TRUE TRUE 0.0146218478987846
180 M.minima P.muelleriana -0.00538380614730803 FALSE TRUE 0.000320530936978191
181 P.airoides P.muelleriana 0.258101478599847 FALSE TRUE 0.0247357365834357
182 P.canescens P.muelleriana 1.63367010838619 FALSE TRUE 0.104985686991668
183 T.cyanopetala P.muelleriana 0.356695809708697 FALSE TRUE 0.0194991704571512
184 V.rosea P.muelleriana -0.0228644433411431 TRUE TRUE 0.0057790194453465
185 A.calendula S.cassiniana 0.00105932462419206 FALSE FALSE 0.00592890190844814
186 H.glabra S.cassiniana 0.0529960599901688 FALSE FALSE 0.00902980089749545
187 H.glutinosum S.cassiniana 0.169156199012372 FALSE FALSE 0.23999604649851
188 M.minima S.cassiniana -0.00839402454027966 FALSE FALSE 0.00267561543762701
189 P.airoides S.cassiniana 0.913136730795784 FALSE FALSE 0.347991991427812
190 P.canescens S.cassiniana 3.99521183098664 TRUE FALSE 0.116841469788926
191 T.cyanopetala S.cassiniana 0.648009271199718 FALSE FALSE 0.111332538028841
192 V.rosea S.cassiniana 0.0421416379591381 FALSE FALSE 0.0581822466109182
193 A.calendula S.lineare 0.00900794926089252 FALSE FALSE 0.00100088209522557
194 H.glabra S.lineare 0.0372195610437728 FALSE FALSE 0.00189548849475318
195 H.glutinosum S.lineare 0.233599619172814 FALSE FALSE 0.0432790651284331
196 M.minima S.lineare -0.00717730183777968 FALSE FALSE 0.000490383925228916
197 P.airoides S.lineare 0.222430543573934 FALSE FALSE 0.0517116305715668
198 P.canescens S.lineare 1.81031514783981 TRUE FALSE 0.0924124351729309
199 T.cyanopetala S.lineare 0.486945932284908 FALSE FALSE 0.0253836644366679
200 V.rosea S.lineare -0.0288913036600466 FALSE FALSE 0.00838447115451005
201 A.calendula T.cyanopetala 0.0397469542967299 TRUE TRUE 0.00261122396598029
202 H.glabra T.cyanopetala 0.124126292388834 TRUE TRUE 0.0049477378305168
203 H.glutinosum T.cyanopetala 0.497887424965258 TRUE TRUE 0.0964860127404483
204 M.minima T.cyanopetala -0.0253165770780841 TRUE TRUE 0.00117725283696514
205 P.airoides T.cyanopetala 0.748202318080742 TRUE TRUE 0.0841233052106311
206 P.canescens T.cyanopetala 5.53736089467012 TRUE TRUE 0.758751649302025
207 T.cyanopetala T.cyanopetala 1.64653090354741 TRUE TRUE 0.0552449778003804
208 V.rosea T.cyanopetala -0.0485419271772685 FALSE TRUE 0.0120093761636875
209 A.calendula V.rosea 0.0762084295193622 TRUE TRUE 0.00561660211538093
210 H.glabra V.rosea 0.394331808402886 TRUE TRUE 0.0175956855488354
211 H.glutinosum V.rosea 2.19862729731452 TRUE TRUE 0.210520427407918
212 M.minima V.rosea -0.0742915667827226 FALSE TRUE 0.00404173284418056
213 P.airoides V.rosea 2.9780376691082 FALSE TRUE 0.138069629774054
214 P.canescens V.rosea 21.8801483833682 TRUE TRUE 0.755782369267054
215 T.cyanopetala V.rosea 4.94925973486577 FALSE TRUE 0.239527804898658
216 V.rosea V.rosea -0.21672755416535 TRUE TRUE 0.0073238717887468
217 A.calendula W.acuminata -0.0321002561118966 FALSE TRUE 0.00181144478343007
218 H.glabra W.acuminata -0.145506290284779 TRUE TRUE 0.00643760662647184
219 H.glutinosum W.acuminata -0.708620410416844 FALSE TRUE 0.046693365771849
220 M.minima W.acuminata 0.0280071323932164 FALSE TRUE 0.00132473363049058
221 P.airoides W.acuminata -0.928582433535459 FALSE TRUE 0.0807302815960447
222 P.canescens W.acuminata -8.19283633788664 TRUE TRUE 0.373758741336594
223 T.cyanopetala W.acuminata -1.85409537104556 FALSE TRUE 0.0854207171657869
224 V.rosea W.acuminata 0.0955120316254798 TRUE TRUE 0.00825866945509019
